fullNameForSearch,position,archetype,yearsPro,overall,speed,acceleration,agility,changeOfDirection,strength,jumping,awareness,breakTackle,carrying,jukeMove,spinMove,stiffArm,trucking,bCVision,kickReturn,throwPower,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,throwOnTheRun,throwUnderPressure,playAction,breakSack,catching,catchInTraffic,spectacularCatch,shortRouteRunning,mediumRouteRunning,deepRouteRunning,release,passBlock,passBlockPower,passBlockFinesse,runBlock,runBlockPower,runBlockFinesse,leadBlock,impactBlocking,tackle,hitPower,pursuit,playRecognition,powerMoves,finesseMoves,blockShedding,manCoverage,zoneCoverage,press,kickPower,kickAccuracy,stamina,injury,toughness,jerseyNum,plyrHandedness,team,teamId,college,plyrPortrait,totalSalary,signingBonus,primaryKey,plyrAssetname
Jason Kelce,C,C_Agile,12,92,74,74,73,59,85,75,99,14,40,10,10,10,10,10,10,22,6,6,6,6,12,6,12,40,15,15,15,5,5,15,89,85,88,95,93,96,94,89,57,55,58,40,45,35,55,25,32,10,18,22,93,94,96,62,Right,Eagles,13,Cincinnati,4406,"$1,150,000 ","$9,600,000 ",10690,KelceJason_10690
A.J. Brown,WR,WR_Physical,4,91,91,93,87,88,79,94,95,89,76,91,82,87,77,96,72,41,34,29,25,40,30,16,40,93,93,94,92,87,84,92,41,24,19,56,37,31,33,53,23,17,33,15,10,10,26,18,27,16,17,16,92,86,90,11,Right,Eagles,13,Ole Miss,9397,"$51,460,000 ","$43,070,000 ",20495,BrownAJ_20495
Haason Reddick,LOLB,OLB_SpeedRusher,6,90,86,89,88,76,81,87,95,43,77,66,51,57,63,73,59,25,6,6,6,6,12,6,12,70,60,59,52,44,35,46,45,44,43,45,44,44,16,66,81,83,86,93,83,92,74,58,62,45,19,19,88,96,84,7,Right,Eagles,13,Temple,8696,"$17,120,000 ","$14,000,000 ",12560,ReddickHaason_12560
Dallas Goedert,TE,TE_VerticalThreat,5,89,84,87,84,75,78,85,92,76,76,76,73,82,73,81,20,27,15,10,5,10,15,5,15,93,84,86,77,73,70,77,61,58,60,74,68,73,50,61,37,28,35,15,10,10,30,10,17,10,19,15,90,88,85,88,Right,Eagles,13,S. Dakota St.,8901,"$31,640,000 ","$21,090,000 ",13128,GoedertDallas_13128
Jalen Hurts,QB,QB_Improviser,3,88,89,90,91,91,76,86,91,79,63,88,79,74,70,94,22,86,94,87,87,91,89,87,93,66,50,54,40,31,17,27,22,18,20,33,19,15,27,36,37,30,36,20,10,10,28,16,22,14,23,23,93,91,93,1,Right,Eagles,13,Oklahoma,704,"$25,550,000 ","$136,670,000 ",21033,HurtsJalen_21033
DeVonta Smith,WR,WR_Slot,2,87,91,94,91,91,49,89,90,73,72,83,76,58,46,92,82,31,25,19,14,17,19,19,19,94,85,88,88,86,88,79,31,21,19,45,22,28,24,38,36,31,52,24,11,14,38,29,36,19,18,15,92,89,87,6,Right,Eagles,13,Alabama,1369,"$8,140,000 ","$12,000,000 ",21761,SmithDeVonta_21761
Jordan Mailata,LT,OT_Power,5,87,70,62,69,56,89,75,92,44,64,51,37,57,74,62,10,39,6,6,6,6,15,6,12,57,55,48,30,25,20,20,86,88,84,91,88,94,92,91,52,60,57,16,15,15,36,12,17,10,18,13,94,88,93,68,Right,Eagles,13,No College,9342,"$34,390,000 ","$23,700,000 ",13479,MailataJordan_13479
James Bradberry IV,CB,CB_Zone,7,85,89,91,85,84,67,88,90,60,62,71,70,25,25,67,65,21,6,6,6,6,12,6,10,76,60,67,28,18,11,12,10,35,35,13,35,35,12,52,47,75,75,89,27,36,53,83,91,93,29,21,95,93,88,24,Right,Eagles,13,Samford,7905,"$1,500,000 ","$14,550,000 ",17825,BradberryJames_17825
Josh Sweat,RE,DE_SmallerSpeedRusher,5,84,85,90,83,70,81,90,88,25,47,35,26,42,27,35,10,20,6,6,6,6,18,6,12,50,28,30,15,8,4,16,45,45,45,45,45,45,18,86,85,77,85,85,77,84,78,26,38,26,19,12,81,88,84,94,Right,Eagles,13,Florida State,9073,"$17,270,000 ","$14,220,000 ",13259,SweatJosh_13259
Landon Dickerson,LG,G_Power,2,82,58,54,67,47,92,68,86,7,28,11,10,24,27,15,10,24,6,6,6,6,11,6,12,31,14,17,12,6,7,16,79,83,77,81,84,78,86,90,36,40,21,32,10,10,39,6,10,10,12,12,88,85,94,69,Right,Eagles,13,Alabama,822,"$5,010,000 ","$3,640,000 ",21642,DickersonLandon_21642
D'Andre Swift,HB,HB_ElusiveBack,3,81,91,92,90,89,68,93,79,80,88,87,83,80,76,82,63,38,30,25,15,28,19,17,23,70,61,58,73,66,59,59,57,32,35,32,23,19,33,41,31,30,36,17,22,16,28,16,13,16,18,12,88,87,85,0,Right,Eagles,13,Georgia,599,"$3,390,000 ","$4,210,000 ",20920,SwiftDAndre_20920
Fletcher Cox,DT,DT_RunStopper,11,81,76,79,77,63,92,66,85,10,38,25,30,47,42,25,10,19,6,6,6,6,15,6,12,32,15,15,15,7,3,15,45,45,45,45,45,45,41,91,86,80,83,88,80,65,75,24,38,10,25,21,83,93,86,91,Right,Eagles,13,Mississippi St.,5119,"$1,000,000 ","$10,400,000 ",11297,CoxFletcher_11297
Jake Elliott,K,KP_Power,6,81,77,80,66,53,34,52,69,14,33,16,10,12,11,18,10,28,33,19,15,24,15,20,14,27,19,17,20,15,12,16,20,17,17,20,16,16,13,18,27,25,39,18,10,10,26,20,14,10,96,87,82,86,57,4,Right,Eagles,13,Memphis,8542,"$8,250,000 ","$9,280,000 ",12809,ElliottJake_12809
Brandon Graham,LE,DE_PowerRusher,13,80,75,79,77,63,87,77,85,26,22,47,34,48,37,52,10,12,6,6,6,6,14,6,12,26,15,20,15,8,4,25,45,45,45,45,45,45,23,91,82,87,86,85,84,79,82,22,29,20,14,12,82,87,79,55,Right,Eagles,13,Michigan,1280,"$1,500,000 ","$8,160,000 ",9837,GrahamBrandon_9837
Avonte Maddox,CB,CB_MantoMan,5,79,92,94,94,96,55,88,75,48,62,84,66,34,25,73,74,27,6,6,6,6,10,6,12,71,65,67,37,27,24,27,35,40,35,40,35,35,15,45,59,61,70,77,25,39,45,77,79,75,19,10,90,83,77,29,Right,Eagles,13,Pittsburgh,8977,"$11,890,000 ","$7,790,000 ",13332,MaddoxAvonte_13332
Jalen Carter,DT,DT_RunStopper,0,79,81,88,78,69,94,80,68,25,48,44,40,48,51,46,10,21,6,6,6,6,17,6,12,50,44,40,37,34,29,38,45,45,45,55,56,51,60,88,82,87,83,72,79,66,79,22,28,25,51,43,72,88,89,98,Right,Eagles,13,Georgia,2563,"$8,940,000 ","$12,840,000 ",22703,CarterJalen_22703
Jordan Davis,DT,DT_RunStopper,1,79,80,87,58,51,96,78,73,29,53,22,17,24,48,42,10,14,6,6,6,6,11,6,12,34,21,28,13,5,3,14,45,45,45,45,45,45,40,89,84,82,80,77,70,60,77,11,19,14,15,11,69,89,87,90,Right,Eagles,13,Georgia,1333,"$7,450,000 ","$9,560,000 ",22164,DavisJordan_22164
Rashaad Penny,HB,HB_ElusiveBack,5,79,91,92,86,83,75,80,77,82,90,89,80,81,75,84,82,38,26,21,18,24,17,12,23,65,48,41,55,49,42,53,55,36,29,31,28,22,33,31,34,31,38,12,10,10,31,13,15,18,17,13,87,78,78,23,Left,Eagles,13,San Diego St.,9017,"$630,000 ","$600,000 ",13215,PennyRashaad_13215
Terrell Edmunds,SS,S_Zone,5,78,90,90,83,81,74,92,77,57,71,73,63,50,43,67,55,25,10,6,6,10,15,10,11,70,53,61,26,20,15,20,35,35,35,35,35,35,16,64,73,87,79,75,41,49,64,73,79,67,18,13,96,93,88,26,Right,Eagles,13,Virginia Tech,8874,"$1,340,000 ","$600,000 ",13361,EdmundsTerrell_13361
Kenneth Gainwell,HB,HB_ElusiveBack,2,76,90,87,86,85,70,84,75,80,91,85,80,75,71,82,64,47,41,33,23,42,32,30,34,68,56,55,65,59,51,57,57,35,30,32,19,26,29,33,30,23,37,15,10,10,25,12,16,15,47,45,84,90,85,14,Left,Eagles,13,Memphis,1300,"$3,490,000 ","$320,000 ",21571,GainwellKenneth_21571
Milton Williams,DT,DT_RunStopper,2,75,83,86,81,67,83,89,75,15,28,23,20,25,26,18,10,22,6,6,6,6,10,6,12,29,24,18,17,9,5,15,45,45,45,45,45,45,31,81,86,76,79,73,73,65,76,17,25,15,14,13,77,91,87,93,Right,Eagles,13,LA. Tech,1588,"$4,030,000 ","$1,080,000 ",21920,WilliamsMilton_21920
Quez Watkins,WR,WR_DeepThreat,3,75,97,95,86,84,41,87,76,75,72,75,73,49,36,80,79,24,15,10,6,18,16,6,27,85,78,78,76,75,77,69,27,10,10,41,32,23,24,41,29,21,38,16,10,10,20,12,16,13,16,12,86,88,78,16,Right,Eagles,13,Southern Miss,651,"$5,030,000 ","$160,000 ",20945,WatkinsQuez_20945
Boston Scott,HB,HB_ElusiveBack,5,74,89,88,90,90,68,91,72,75,84,85,81,57,52,77,83,22,22,17,12,18,16,15,25,70,58,55,62,58,54,52,54,37,32,28,22,26,26,26,26,18,30,15,10,10,26,11,18,10,14,11,83,91,82,35,Right,Eagles,13,LA. Tech,9350,"$1,100,000 ",$0 ,13275,ScottBoston_13275
Greedy Williams,CB,CB_MantoMan,4,73,93,92,86,85,54,86,71,52,63,72,65,35,23,63,62,35,15,10,6,10,10,6,12,72,55,69,25,15,12,22,28,22,22,34,34,35,11,45,51,52,69,70,30,42,46,73,74,75,20,17,87,85,84,38,Right,Eagles,13,LSU,9675,"$690,000 ","$600,000 ",20600,WilliamsGreedy_20600
Justin Evans,SS,S_RunSupport,5,73,87,91,88,81,75,93,72,44,66,68,62,46,64,55,80,30,15,10,10,15,16,15,10,72,59,62,36,26,21,27,35,35,35,35,35,35,14,59,71,87,76,73,35,44,62,65,63,64,25,25,89,87,88,30,Right,Eagles,13,Texas AM,8548,"$950,000 ","$600,000 ",12593,EvansJustin_12593
Nolan Smith Jr,LOLB,OLB_SpeedRusher,0,73,93,95,87,81,69,95,69,36,49,55,54,34,39,50,25,25,21,15,11,15,15,11,21,50,43,42,20,15,11,19,35,35,35,40,40,40,23,65,78,84,82,66,62,71,66,42,50,37,20,20,77,85,84,3,Right,Eagles,13,Georgia,2402,"$6,270,000 ","$5,720,000 ",22700,SmithNolan_22700
Reed Blankenship,FS,S_Zone,1,73,87,93,81,83,61,81,74,58,65,73,65,50,45,72,65,25,20,15,12,15,10,6,17,70,59,66,14,12,10,15,34,34,34,35,35,35,15,62,70,73,81,76,36,41,57,58,72,58,28,23,88,88,79,32,Right,Eagles,13,Mid Tenn St.,0,"$2,560,000 ","$10,000 ",21792,BlankenshipReed_21792
Derek Barnett,RE,DE_PowerRusher,6,72,74,74,76,63,85,76,76,16,53,37,28,46,38,41,10,28,6,6,6,6,15,6,12,49,42,45,21,17,13,22,45,45,45,45,45,45,11,81,79,85,83,74,76,64,75,32,46,26,23,15,81,85,84,96,Right,Eagles,13,Tennessee,8475,"$1,580,000 ","$4,200,000 ",12530,BarnettDerek_12530
K'Von Wallace,FS,S_Hybrid,3,72,88,91,90,87,64,90,71,49,55,71,66,42,39,61,41,34,27,21,14,22,10,6,19,58,55,61,38,33,25,35,25,35,35,35,35,35,15,60,69,77,70,70,40,48,59,67,71,71,15,15,87,88,84,42,Right,Eagles,13,Clemson,643,"$3,300,000 ","$710,000 ",21167,WallaceKVon_21167
Kelee Ringo,CB,CB_MantoMan,0,72,94,95,84,83,58,81,67,63,62,68,64,52,51,70,54,35,6,6,6,6,15,6,16,70,58,66,45,35,41,49,35,35,35,35,35,35,15,47,59,64,67,66,35,44,44,70,72,75,19,22,88,92,78,37,Right,Eagles,13,Georgia,2369,"$3,830,000 ","$800,000 ",22707,RingoKelee_22707
Nakobe Dean,MLB,MLB_FieldGeneral,1,72,89,92,83,76,66,79,73,38,62,60,42,33,35,60,10,25,6,6,6,6,11,6,15,66,57,64,20,13,8,15,45,45,45,45,45,45,20,73,80,85,88,75,51,62,65,60,64,39,22,20,89,92,87,17,Right,Eagles,13,Georgia,1347,"$4,250,000 ","$960,000 ",22402,DeanNakobe_22402
Olamide Zaccheaus,WR,WR_Playmaker,4,72,89,90,86,86,54,85,75,74,72,82,75,39,35,78,72,31,19,12,7,10,20,13,24,86,78,79,76,74,75,68,35,19,19,48,26,20,31,44,35,25,39,30,15,23,35,15,23,10,13,15,85,88,84,13,Right,Eagles,13,Virginia,688,"$440,000 ","$650,000 ",20802,ZaccheausOlamide_20802
Sydney Brown,SS,S_Hybrid,0,72,90,95,83,79,69,94,71,63,65,72,63,45,44,70,62,42,34,28,24,27,17,16,17,74,65,69,37,33,24,35,25,25,25,35,35,35,20,51,63,85,75,68,39,48,58,74,65,71,32,31,90,90,83,21,Right,Eagles,13,Illinois,1901,"$4,560,000 ","$1,160,000 ",23081,BrownSydney_23081
Arryn Siposs,P,KP_Power,3,71,69,66,61,53,58,64,55,5,44,14,10,10,10,15,10,38,27,23,18,19,17,15,18,27,15,15,15,15,15,15,17,17,17,14,16,16,16,16,29,12,25,17,10,10,30,10,16,10,91,76,83,85,92,10,Right,Eagles,13,Auburn,574,"$1,760,000 ","$70,000 ",21328,SipossArryn_21328
Cam Jurgens,RG,G_Agile,1,71,75,79,74,60,83,81,73,35,45,42,38,45,39,44,10,20,6,6,6,6,10,6,10,47,43,40,39,36,32,42,73,69,77,72,69,75,86,78,26,32,35,15,20,18,25,10,10,12,19,15,84,86,80,51,Right,Eagles,13,Nebraska,1793,"$4,700,000 ","$2,200,000 ",22273,JurgensCam_22273
Josiah Scott,CB,CB_Slot,3,71,92,93,91,91,53,84,68,49,60,76,67,35,30,68,78,30,15,10,10,15,11,15,12,68,52,66,20,10,10,15,35,35,35,35,35,35,17,50,59,59,77,70,33,39,51,67,70,68,20,15,88,85,80,33,Right,Eagles,13,Michigan St.,563,"$2,690,000 ",$0 ,21011,ScottJosiah_21011
Nicholas Morrow,ROLB,OLB_RunStopper,6,71,86,83,82,73,76,87,78,33,63,44,40,39,38,50,42,27,15,10,10,15,10,15,12,68,63,58,42,42,42,44,44,44,43,44,43,45,12,62,79,74,82,80,53,59,67,59,64,54,21,18,93,85,81,41,Right,Eagles,13,Greenville College,9246,"$1,020,000 ",$0 ,12975,MorrowNicholas_12975
Dan Arnold,TE,TE_VerticalThreat,5,70,84,87,84,77,64,90,71,57,70,64,61,54,63,64,10,14,6,6,6,6,10,6,15,83,78,82,67,64,60,68,54,50,48,58,58,54,45,60,35,25,33,27,15,14,37,22,21,18,13,13,84,83,81,46,Right,Eagles,13,University of Wisconsin-Platteville,9702,"$1,000,000 ","$50,000 ",13857,ArnoldDan_13857
Greg Ward Jr,WR,WR_Slot,5,70,87,92,86,83,50,83,70,73,74,78,74,45,37,77,82,69,58,50,46,60,51,48,53,84,79,82,74,73,70,71,38,11,10,42,19,11,22,42,26,24,37,21,11,19,22,20,28,20,20,16,83,90,79,84,Right,Eagles,13,Houston,646,"$1,010,000 ",$0 ,20863,WardGreg_20863
Kentavius Street,DT,DT_SpeedRusher,5,69,76,82,73,56,89,79,61,26,49,41,32,42,42,41,12,26,6,6,6,6,11,6,12,46,37,40,35,31,27,35,45,45,45,45,45,45,33,82,81,83,79,58,65,74,68,25,30,21,16,15,81,89,86,97,Right,Eagles,13,N.C. State,9069,"$780,000 ","$500,000 ",13441,StreetKentavius_13441
Marcus Mariota,QB,QB_Scrambler,8,69,87,90,86,84,60,84,65,74,64,77,74,63,41,88,10,86,84,78,77,80,79,81,78,62,26,31,39,29,19,23,20,15,15,28,20,20,29,43,28,25,35,30,10,10,25,10,24,10,37,35,74,80,91,8,Right,Eagles,13,Oregon,6979,"$500,000 ","$1,430,000 ",19983,MariotaMarcus_19983
Kyron Johnson,LE,DE_SmallerSpeedRusher,1,68,92,93,84,74,66,93,60,38,35,64,53,30,34,47,10,24,6,6,6,15,11,6,19,32,26,30,20,15,10,22,45,45,45,45,45,45,16,65,76,84,82,55,56,64,59,30,40,26,15,14,73,90,78,58,Right,Eagles,13,Kansas,2540,"$3,670,000 ","$200,000 ",22407,JohnsonKyron_22407
Tyler Steen,RT,OT_Agile,0,68,64,73,59,59,91,73,75,10,23,10,10,17,22,23,10,26,10,8,6,6,7,6,10,24,10,15,10,8,6,12,75,72,78,67,65,69,69,83,48,51,53,47,51,45,52,12,13,10,12,11,85,94,85,56,Right,Eagles,13,Alabama,2409,"$4,560,000 ","$1,200,000 ",22882,SteenTyler_22882
Zech McPhearson,CB,CB_MantoMan,2,68,89,93,89,91,60,93,67,47,59,70,66,35,36,72,72,20,6,6,6,6,10,6,10,62,51,65,42,39,37,37,35,35,35,35,35,35,19,45,60,51,67,64,35,39,43,66,67,65,22,17,89,91,85,27,Right,Eagles,13,Texas Tech,1189,"$3,490,000 ","$720,000 ",21700,McPhearsonZech_21700
Davion Taylor,ROLB,OLB_RunStopper,3,67,88,91,85,76,69,84,65,25,53,63,53,44,43,49,30,21,22,17,12,15,14,10,22,52,32,45,15,5,5,15,45,45,45,45,45,45,17,70,79,84,80,62,50,56,67,56,59,53,17,12,82,84,78,52,Right,Eagles,13,Colorado,605,"$940,000 ",$0 ,21140,TaylorDavion_21140
Jack Driscoll,RT,OT_Agile,3,67,72,76,62,50,83,73,77,17,29,19,15,26,37,28,10,25,6,6,6,6,14,6,12,36,29,25,26,16,8,22,70,68,71,71,68,73,85,81,36,42,30,26,33,27,29,12,15,10,22,20,85,84,92,63,Right,Eagles,13,Auburn,261,"$3,300,000 ","$480,000 ",21177,DriscollJack_21177
Marlon Tuipulotu,DT,DT_RunStopper,2,67,70,68,62,58,87,75,69,18,37,19,17,28,29,19,10,10,6,6,6,6,10,6,12,33,17,17,10,5,3,14,53,54,52,52,51,53,50,82,76,76,79,70,67,58,70,15,20,15,21,16,72,87,86,95,Right,Eagles,13,USC,796,"$3,490,000 ","$180,000 ",21528,TuipulotuMarlon_21528
Trey Sermon,HB,HB_ElusiveBack,2,67,86,93,86,83,78,89,61,78,90,79,70,79,77,78,38,37,34,30,26,30,19,23,34,67,48,49,61,52,44,49,54,39,33,51,37,35,48,52,34,31,36,16,11,14,31,12,17,18,23,16,82,79,78,22,Right,Eagles,13,Ohio State,1321,"$3,300,000 ",$0 ,21631,SermonTrey_21631
Grant Calcaterra,TE,TE_VerticalThreat,1,66,85,89,80,77,72,80,68,58,75,66,62,61,64,72,10,25,15,10,6,10,13,6,17,77,71,75,67,62,61,62,55,52,55,57,53,55,57,57,18,22,23,22,10,10,23,12,15,15,18,13,84,79,84,81,Right,Eagles,13,SMU,2067,"$3,670,000 ","$160,000 ",22101,CalcaterraGrant_22101
Janarius Robinson,RE,DE_PowerRusher,2,66,82,86,73,67,81,82,67,27,43,40,38,38,31,41,10,25,6,6,6,6,18,6,12,50,35,40,25,20,16,25,45,45,45,45,45,45,21,78,74,83,76,65,67,63,67,33,45,34,18,19,70,85,82,59,Right,Eagles,13,Florida State,1035,"$1,860,000 ",$0 ,21515,RobinsonJanarius_21515
Dalton Keene,TE,TE_Possession,3,65,83,88,80,78,75,82,67,61,77,67,63,65,70,73,32,29,15,10,6,10,13,6,18,80,75,76,64,56,50,60,57,56,57,59,53,58,58,64,48,54,53,51,31,36,53,16,26,23,16,13,81,78,75,47,Right,Eagles,13,Virginia Tech,408,"$870,000 ",$0 ,20953,KeeneDalton_20953
Moro Ojomo,DT,DT_RunStopper,0,64,71,82,69,61,84,80,63,21,35,35,25,51,38,33,10,20,13,9,6,7,6,6,15,33,22,25,10,8,6,15,45,45,45,45,45,45,25,84,79,81,77,59,64,55,66,22,26,31,28,22,72,92,84,72,Right,Eagles,13,Texas,2339,"$3,830,000 ","$80,000 ",22936,OjomoMoro_22936
Patrick Johnson,LOLB,OLB_PowerRusher,2,64,84,87,83,72,75,84,64,21,50,35,28,42,35,39,13,22,6,6,6,6,16,6,12,46,34,37,21,15,12,21,45,45,45,45,45,45,23,80,77,78,78,62,67,60,65,40,50,49,21,21,74,90,92,48,Right,Eagles,13,Tulane,946,"$3,490,000 ","$100,000 ",21879,JohnsonPatrick_21879
Tyrie Cleveland,WR,WR_Slot,3,64,90,93,82,81,59,86,67,66,75,71,67,46,37,71,70,22,15,10,6,10,15,6,22,79,75,75,68,67,64,61,39,29,29,46,34,26,30,44,31,19,30,13,10,10,25,10,15,10,16,10,81,86,79,85,Right,Eagles,13,Florida,216,"$1,010,000 ",$0 ,21070,ClevelandTyrie_21070
Britain Covey,WR,WR_Playmaker,1,63,89,93,91,90,39,78,53,74,73,74,65,33,27,84,76,48,50,49,44,57,28,45,56,75,71,67,64,62,57,50,22,18,16,34,23,24,16,30,22,15,32,16,10,10,16,14,15,10,16,15,82,84,85,18,Right,Eagles,13,Utah,0,"$870,000 ",$0 ,22507,CoveyBritain_22507
Jack Stoll,TE,TE_VerticalThreat,2,63,84,86,83,76,68,77,65,45,74,65,62,58,64,68,46,33,17,10,6,10,10,6,17,80,69,78,63,58,49,61,59,58,55,63,58,62,56,65,34,26,39,20,10,10,35,15,19,10,24,18,84,90,85,89,Right,Eagles,13,Nebraska,1070,"$2,420,000 ","$20,000 ",21776,StollJack_21776
Josh Jobe,CB,CB_Zone,1,63,90,90,80,79,63,84,62,49,58,71,65,32,33,62,40,29,6,6,6,15,10,6,13,58,53,57,21,14,11,25,31,31,31,35,35,35,22,53,63,64,69,57,29,37,49,63,66,71,21,14,86,88,85,28,Right,Eagles,13,Alabama,1778,"$2,560,000 ","$10,000 ",22212,JobeJosh_22212
Roderick Johnson,LT,OT_Agile,6,63,73,72,56,47,84,73,73,14,23,28,17,32,34,25,11,25,6,6,6,6,10,6,12,27,15,12,10,5,5,12,62,61,66,69,67,72,80,79,36,41,33,10,27,18,37,12,12,10,23,17,82,89,86,66,Right,Eagles,13,Florida State,8607,"$1,010,000 ","$20,000 ",12585,JohnsonRod_12585
Sua Opeta,LG,G_Power,4,63,72,84,58,53,92,80,64,11,23,28,23,32,35,26,10,27,6,6,6,6,10,6,12,28,20,24,17,7,5,25,65,67,61,63,64,62,79,79,48,50,43,36,44,32,45,12,20,15,24,22,81,87,83,78,Right,Eagles,13,Weber State,9593,"$1,130,000 ","$180,000 ",20666,OpetaSua_20666
Tarron Jackson,LE,DE_SmallerSpeedRusher,2,62,82,80,71,67,77,73,61,21,38,36,38,35,32,37,10,25,6,6,6,6,15,6,12,41,30,32,23,17,13,18,45,45,45,45,45,45,20,77,75,75,76,62,61,65,66,24,38,22,19,11,74,90,81,75,Right,Eagles,13,Coastal Carolina,876,"$940,000 ",$0 ,21505,JacksonTarron_21505
Fred Johnson,RT,OT_Power,4,61,61,62,54,44,85,63,72,5,20,14,10,22,25,16,10,12,6,6,6,6,10,6,12,24,17,15,18,8,5,15,64,65,62,69,67,72,79,79,31,40,23,15,10,10,25,9,14,10,14,13,81,89,83,50,Right,Eagles,13,Florida,9530,"$940,000 ",$0 ,20664,JohnsonFred_20664
Shaun Bradley,MLB,MLB_RunStopper,3,61,87,90,80,75,67,79,61,38,60,67,55,45,49,58,30,21,22,17,12,15,14,10,22,58,40,45,36,22,14,15,45,45,45,45,45,45,17,68,77,83,80,59,46,53,61,59,55,46,17,12,80,90,85,54,Right,Eagles,13,Temple,176,"$3,300,000 ","$160,000 ",21343,BradleyShaun_21343
Tristin McCollum,FS,S_Hybrid,1,61,90,93,92,90,57,89,49,63,61,75,65,47,42,72,45,26,15,10,8,21,13,15,32,65,57,63,28,24,19,25,29,29,29,33,33,33,18,50,59,62,73,48,29,35,47,65,67,62,15,14,83,89,76,36,Right,Eagles,13,Sam Houston,0,"$1,700,000 ","$20,000 ",22509,McCollumTristin_22509
T.J. Watt,LOLB,OLB_SpeedRusher,6,94,83,88,84,71,83,88,96,23,53,46,37,54,52,49,6,25,6,6,6,6,16,6,12,66,52,57,24,14,7,22,45,45,45,45,45,45,16,76,92,85,96,93,84,94,89,59,65,43,57,50,87,86,95,90,Right,Steelers,29,Wisconsin,8770,"$77,600,000 ","$45,590,000 ",12562,WattTJ_12562
Cameron Heyward,RE,DE_RunStopper,12,93,71,71,68,60,94,74,99,11,39,10,10,46,36,29,10,21,6,6,6,6,18,6,12,48,10,22,10,3,2,12,45,45,45,45,45,45,17,88,94,92,93,99,94,74,95,22,32,10,12,11,87,94,95,97,Right,Steelers,29,Ohio State,4384,"$45,420,000 ","$33,440,000 ",10698,HeywardCameron_10698
Minkah Fitzpatrick,FS,S_Zone,5,93,91,92,92,88,64,90,91,58,66,79,69,55,47,81,68,15,6,6,6,6,16,6,18,78,59,62,28,23,18,29,35,35,35,35,35,35,18,63,77,84,85,91,38,50,60,81,95,77,15,13,93,94,88,39,Left,Steelers,29,Alabama,8887,"$52,720,000 ","$31,490,000 ",13084,FitzpatrickMinkah_13084
Pat Freiermuth,TE,TE_Possession,2,85,83,83,77,72,78,88,90,67,77,65,61,73,77,75,30,30,50,15,10,12,13,6,19,95,85,84,76,74,66,79,64,64,61,61,60,57,58,72,58,58,59,41,49,44,55,32,41,26,72,62,89,91,86,88,Right,Steelers,29,Penn State,1377,"$4,280,000 ","$1,750,000 ",21561,FreiermuthPat_21561
Patrick Peterson,CB,CB_Zone,12,85,90,91,89,86,70,91,92,77,67,90,87,65,55,85,88,64,59,37,32,35,45,10,47,81,70,78,40,30,23,54,35,35,35,35,35,35,17,54,59,72,72,88,52,62,45,82,86,84,28,21,94,92,82,20,Right,Steelers,29,LSU,4444,"$7,350,000 ","$6,660,000 ",10743,PetersonPatrick_10743
Najee Harris,HB,HB_PowerBack,2,83,88,91,85,88,83,94,82,86,94,85,79,90,86,84,53,43,43,37,26,37,26,32,42,73,58,60,66,59,51,58,54,37,34,50,41,40,49,55,44,40,42,32,24,21,36,21,26,24,18,15,96,95,93,22,Right,Steelers,29,Alabama,1308,"$6,200,000 ","$6,850,000 ",21829,HarrisNajee_21829
Alex Highsmith,ROLB,OLB_SpeedRusher,3,82,82,84,82,74,76,81,88,16,46,32,27,32,32,31,10,24,6,6,6,6,10,6,12,51,24,27,10,5,5,14,45,45,45,45,45,45,12,80,84,80,85,87,75,84,78,55,62,45,14,10,91,92,88,56,Right,Steelers,29,Charlotte,352,"$5,180,000 ","$840,000 ",21234,HighsmithAlex_21234
Diontae Johnson,WR,WR_Playmaker,4,82,90,93,91,92,61,86,79,78,70,87,78,69,42,86,82,53,48,40,42,49,35,44,27,86,83,88,86,85,84,85,28,14,16,47,20,12,20,38,29,14,38,16,10,10,26,17,20,14,52,52,94,89,83,18,Right,Steelers,29,Toledo,9529,"$22,000,000 ","$17,780,000 ",20653,JohnsonDiontae_20653
Cole Holcomb,MLB,MLB_FieldGeneral,4,80,87,89,88,76,72,80,79,45,60,33,26,23,32,50,10,27,6,6,6,6,12,6,12,65,45,47,30,25,21,30,45,45,45,45,45,45,20,70,89,77,87,80,54,46,73,65,72,50,18,35,92,91,85,55,Right,Steelers,29,North Carolina,1452,"$10,860,000 ","$7,140,000 ",20731,HolcombCole_20731
George Pickens,WR,WR_DeepThreat,1,80,90,93,90,91,61,94,81,72,74,79,74,46,37,78,74,28,15,10,6,10,15,6,20,87,88,92,80,79,78,76,32,21,25,53,34,38,29,49,24,18,31,15,11,11,22,12,17,16,19,16,86,85,79,14,Right,Steelers,29,Georgia,1888,"$4,670,000 ","$2,080,000 ",22365,PickensGeorge_22365
James Daniels,RG,G_PassProtector,5,80,63,68,73,59,84,75,88,8,28,10,10,10,21,15,10,26,6,6,6,6,10,6,12,20,15,12,10,5,5,12,83,82,83,79,76,83,82,83,28,29,28,10,10,10,26,12,12,10,15,14,89,88,82,78,Right,Steelers,29,Iowa,8859,"$17,750,000 ","$8,740,000 ",13137,DanielsJames_13137
